2021-12-15T17:53:35+00:00
Running ./build/Bench/bench_dphp_bvh
Run on (256 X 3303.1 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x128)
  L1 Instruction 32 KiB (x128)
  L2 Unified 512 KiB (x128)
  L3 Unified 16384 KiB (x32)
Load Average: 0.00, 0.00, 0.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"primitives","primitives/s"
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.44973e+06,4.20206e+06,ns,,,,,,282759,1.15425e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.46349e+06,4.21822e+06,ns,,,,,,282759,1.1478e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.4511e+06,4.2182e+06,ns,,,,,,282759,1.1536e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.49718e+06,4.28e+06,ns,,,,,,282759,1.13231e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.46154e+06,4.2254e+06,ns,,,,,,282759,1.14871e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.51117e+06,4.24504e+06,ns,,,,,,282759,1.12601e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.45837e+06,4.20024e+06,ns,,,,,,282759,1.15019e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.48077e+06,4.21979e+06,ns,,,,,,282759,1.1398e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.46848e+06,4.23545e+06,ns,,,,,,282759,1.14548e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.52963e+06,4.27917e+06,ns,,,,,,282759,1.11779e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.53648e+06,4.37098e+06,ns,,,,,,282759,1.11477e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.87338e+06,4.27628e+06,ns,,,,,,282759,9.84065e+07
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.49786e+06,4.26123e+06,ns,,,,,,282759,1.13201e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.51734e+06,4.27357e+06,ns,,,,,,282759,1.12324e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.49587e+06,4.27717e+06,ns,,,,,,282759,1.13291e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.53283e+06,4.30423e+06,ns,,,,,,282759,1.11637e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.53168e+06,4.27646e+06,ns,,,,,,282759,1.11688e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.49546e+06,4.24717e+06,ns,,,,,,282759,1.1331e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.52589e+06,4.29024e+06,ns,,,,,,282759,1.11944e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.53306e+06,4.32597e+06,ns,,,,,,282759,1.11628e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.51411e+06,4.27958e+06,ns,,,,,,282759,1.12469e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.48698e+06,4.22908e+06,ns,,,,,,282759,1.13696e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.5456e+06,4.30668e+06,ns,,,,,,282759,1.11078e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.49658e+06,4.27582e+06,ns,,,,,,282759,1.13259e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.56138e+06,4.33925e+06,ns,,,,,,282759,1.10393e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.50534e+06,4.30607e+06,ns,,,,,,282759,1.12862e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.47722e+06,4.2684e+06,ns,,,,,,282759,1.14144e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.49043e+06,4.25889e+06,ns,,,,,,282759,1.13538e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.47802e+06,4.28303e+06,ns,,,,,,282759,1.14107e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.52579e+06,4.27377e+06,ns,,,,,,282759,1.11949e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.5169e+06,4.29311e+06,ns,,,,,,282759,1.12344e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.46877e+06,4.22345e+06,ns,,,,,,282759,1.14534e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.49306e+06,4.25013e+06,ns,,,,,,282759,1.13419e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.44954e+06,4.22357e+06,ns,,,,,,282759,1.15434e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.50493e+06,4.28055e+06,ns,,,,,,282759,1.12881e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.46902e+06,4.23244e+06,ns,,,,,,282759,1.14523e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.47158e+06,4.24964e+06,ns,,,,,,282759,1.14404e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.51274e+06,4.29078e+06,ns,,,,,,282759,1.1253e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.45747e+06,4.23225e+06,ns,,,,,,282759,1.15061e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.48614e+06,4.256e+06,ns,,,,,,282759,1.13734e+08
